SSID,BSSID,Canal,Encriptación
ElFerrari,B2:44:8C:59:11:6A,2.412 GHz (Channel 1),on
,24:F2:7F:7B:BF:82,2.412 GHz (Channel 1),on
WIFI_VISITAS,24:F2:7F:7B:BF:83,2.412 GHz (Channel 1),on
WIFI_ALUM,24:F2:7F:7B:BF:80,2.412 GHz (Channel 1),on
,24:F2:7F:7B:BF:84,2.412 GHz (Channel 1),on
Redmi Note 10 Pro,D2:94:97:0D:E1:3D,2.437 GHz (Channel 6),on
WIFI_ALUM,20:A6:CD:A3:76:E0,2.437 GHz (Channel 6),on
WIFI_ADMIN,20:A6:CD:A3:76:E1,2.437 GHz (Channel 6),on
,20:A6:CD:A3:76:E2,2.437 GHz (Channel 6),on
WIFI_VISITAS,20:A6:CD:A3:76:E3,2.437 GHz (Channel 6),on
,20:A6:CD:A3:76:E4,2.437 GHz (Channel 6),on
iPhone de Javiera,4E:63:D4:69:08:87,2.437 GHz (Channel 6),on
WIFI_ALUM,44:48:C1:5D:0A:40,2.462 GHz (Channel 11),on
WIFI_ALUM,44:48:C1:5D:0B:40,2.462 GHz (Channel 11),on
WIFI_ADMIN,44:48:C1:5D:0B:41,2.462 GHz (Channel 11),on
,44:48:C1:5D:0B:42,2.462 GHz (Channel 11),on
ZTE-E552B6,10:3C:59:E5:52:B6,2.462 GHz (Channel 11),on
HONOR X7,72:32:8E:D1:46:F7,2.462 GHz (Channel 11),on
WIFI_ALUM,B8:37:B2:F3:FB:C0,2.462 GHz (Channel 11),on
WIFI_VISITAS,B8:37:B2:F3:FB:C3,2.462 GHz (Channel 11),on
,44:48:C1:5D:0A:42,2.462 GHz (Channel 11),on
,B8:37:B2:F3:FB:C2,2.462 GHz (Channel 11),on
WIFI_VISITAS,44:48:C1:5D:0B:43,2.462 GHz (Channel 11),on
WIFI_ADMIN,44:48:C1:5D:0A:41,2.462 GHz (Channel 11),on
WIFI_ADMIN,B8:37:B2:F3:FB:C1,2.462 GHz (Channel 11),on
,B8:37:B2:F3:FB:C4,2.462 GHz (Channel 11),on
GomezArancibia_2.4,00:02:71:AE:84:CB,2.412 GHz (Channel 1),on
WIFI_ADMIN,24:F2:7F:7B:BF:81,2.412 GHz (Channel 1),on
,A0:25:D7:03:8D:A4,2.437 GHz (Channel 6),on
Julia fonseca,44:48:B9:49:BC:10,2.437 GHz (Channel 6),on
LIA,20:23:51:06:DB:B7,2.452 GHz (Channel 9),on
WIFI_VISITAS,44:48:C1:5D:0B:83,2.412 GHz (Channel 1),on
WIFI_VISITAS,44:48:C1:5D:0A:A3,2.412 GHz (Channel 1),on
,44:48:C1:5D:0A:A4,2.412 GHz (Channel 1),on
Claudio 2.4G,E4:77:27:BD:AE:98,2.412 GHz (Channel 1),on
,44:48:C1:5D:0B:84,2.412 GHz (Channel 1),on
WIFI_ALUM,44:48:C1:5D:0A:A0,2.412 GHz (Channel 1),on
WIFI_ADMIN,44:48:C1:5D:0B:81,2.412 GHz (Channel 1),on
,A0:25:D7:03:8D:A2,2.437 GHz (Channel 6),on
WIFI_VISITAS,A0:25:D7:03:8D:A3,2.437 GHz (Channel 6),on
WIFI_ALUM,24:F2:7F:7B:BC:80,2.462 GHz (Channel 11),on
,44:48:C1:5D:0B:82,2.412 GHz (Channel 1),on
Galaxy A33 5G 9909,76:F8:9A:0C:E9:CE,2.437 GHz (Channel 6),on
K9,B2:5F:16:4D:5C:20,2.437 GHz (Channel 6),on
